Strategy,TotalRounds,BotWinRate,HumanWinRate,TieRate,PredictionAccuracy,Order1RollingAcc,Order2RollingAcc,AvgLatencyMs
uniform_random,1000,35.1%,32.1%,32.8%,35.8%,45.0%,50.0%,0.011ms
fixed_rock,1000,93.7%,3.1%,3.2%,100.0%,100.0%,100.0%,0.011ms
cyclic,1000,94.7%,2.9%,2.4%,99.7%,100.0%,100.0%,0.010ms
win_stay_lose_shift,1000,87.9%,6.7%,5.4%,92.7%,70.0%,100.0%,0.010ms
