Round,OpponentMove,PredictedMove,BotMove,Result,ModelUsed,PredictionCorrect,DecisionLatencyMs,Timestamp
843,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
844,rock,rock,scissors,win,random,true,0.010,2026-09-03T15:40:55.418Z
845,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
846,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
847,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
848,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
849,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
850,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
851,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
852,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
853,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
854,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
855,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
856,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
857,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
858,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
859,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
860,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
861,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
862,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
863,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
864,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
865,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
866,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
867,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
868,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
869,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
870,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
871,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
872,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
873,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
874,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
875,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
876,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
877,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
878,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
879,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
880,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
881,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
882,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
883,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
884,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
885,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
886,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
887,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
888,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
889,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
890,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
891,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
892,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
893,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
894,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
895,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
896,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
897,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
898,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
899,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
900,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
901,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
902,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
903,rock,rock,paper,lose,random,true,0.010,2026-09-03T15:40:55.418Z
904,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
905,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
906,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
907,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
908,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
909,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
910,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
911,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
912,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
913,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
914,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
915,scissors,rock,scissors,tie,random,false,0.010,2026-09-03T15:40:55.418Z
916,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
917,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
918,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
919,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
920,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
921,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
922,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
923,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
924,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
925,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
926,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
927,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
928,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
929,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
930,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
931,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
932,scissors,rock,paper,win,random,false,0.010,2026-09-03T15:40:55.418Z
933,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
934,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
935,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
936,scissors,scissors,scissors,tie,random,true,0.010,2026-09-03T15:40:55.418Z
937,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
938,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
939,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
940,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
941,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
942,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
943,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
944,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
945,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
946,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
947,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
948,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
949,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
950,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
951,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
952,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
953,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
954,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
955,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
956,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
957,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
958,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
959,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
960,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
961,scissors,scissors,scissors,tie,random,true,0.010,2026-09-03T15:40:55.418Z
962,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
963,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
964,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
965,paper,paper,rock,win,random,true,0.010,2026-09-03T15:40:55.418Z
966,paper,paper,rock,win,random,true,0.010,2026-09-03T15:40:55.418Z
967,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
968,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
969,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.418Z
970,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
971,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.418Z
972,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
973,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.418Z
974,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
975,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
976,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
977,paper,paper,scissors,lose,random,true,0.010,2026-09-03T15:40:55.418Z
978,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
979,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
980,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
981,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
982,rock,paper,paper,lose,random,false,0.010,2026-09-03T15:40:55.418Z
983,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
984,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
985,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
986,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
987,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
988,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
989,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
990,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
991,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
992,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
993,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.418Z
994,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
995,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
996,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
997,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
998,scissors,rock,paper,win,random,false,0.010,2026-09-03T15:40:55.418Z
999,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.418Z
1000,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.418Z
