roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
102,rock,rock,paper,lose,order-1,True,0.0032,1787898705535
103,rock,rock,paper,lose,order-1,True,0.0026,1787898705635
104,rock,rock,paper,lose,order-1,True,0.0027,1787898705735
105,rock,rock,paper,lose,order-1,True,0.0026,1787898705835
106,rock,rock,paper,lose,order-1,True,0.0025,1787898705935
107,rock,rock,paper,lose,order-1,True,0.0026,1787898706035
108,rock,rock,paper,lose,order-1,True,0.0027,1787898706135
109,rock,rock,paper,lose,order-1,True,0.0027,1787898706235
110,rock,rock,paper,lose,order-1,True,0.0028,1787898706335
111,rock,rock,paper,lose,order-1,True,0.0026,1787898706435
112,rock,rock,paper,lose,order-1,True,0.0026,1787898706535
113,rock,rock,paper,lose,order-1,True,0.0026,1787898706635
114,rock,rock,paper,lose,random,True,0.0033,1787898706735
115,rock,rock,paper,lose,order-1,True,0.0028,1787898706835
116,rock,rock,paper,lose,order-1,True,0.003,1787898706935
117,rock,rock,paper,lose,order-1,True,0.0028,1787898707035
118,rock,rock,paper,lose,order-1,True,0.0035,1787898707135
119,rock,rock,paper,lose,order-1,True,0.0027,1787898707235
120,rock,rock,paper,lose,order-1,True,0.0025,1787898707335
121,rock,rock,paper,lose,order-1,True,0.0027,1787898707435
122,rock,rock,paper,lose,order-1,True,0.0026,1787898707535
123,rock,rock,paper,lose,order-1,True,0.0029,1787898707635
124,rock,rock,paper,lose,order-1,True,0.0028,1787898707735
125,rock,rock,rock,tie,random,True,0.0029,1787898707835
126,rock,rock,paper,lose,order-1,True,0.0027,1787898707935
127,rock,rock,paper,lose,order-1,True,0.0026,1787898708035
128,rock,rock,paper,lose,order-1,True,0.0026,1787898708135
129,rock,rock,rock,tie,random,True,0.0029,1787898708235
130,rock,rock,paper,lose,order-1,True,0.0347,1787898708335
131,rock,rock,paper,lose,order-1,True,0.0028,1787898708435
132,rock,rock,paper,lose,order-1,True,0.0026,1787898708535
133,rock,rock,paper,lose,order-1,True,0.003,1787898708636
134,rock,rock,paper,lose,order-1,True,0.0028,1787898708736
135,rock,rock,paper,lose,order-1,True,0.0026,1787898708836
136,rock,rock,paper,lose,order-1,True,0.0031,1787898708936
137,rock,rock,paper,lose,order-1,True,0.0027,1787898709036
138,rock,rock,paper,lose,order-1,True,0.0028,1787898709136
139,rock,rock,paper,lose,order-1,True,0.0025,1787898709236
140,rock,rock,paper,lose,order-1,True,0.0026,1787898709336
141,rock,rock,paper,lose,order-1,True,0.0028,1787898709436
142,rock,rock,paper,lose,order-1,True,0.0054,1787898709536
143,rock,rock,paper,lose,order-1,True,0.0049,1787898709636
144,rock,rock,paper,lose,order-1,True,0.0028,1787898709736
145,rock,rock,paper,lose,order-1,True,0.0027,1787898709836
146,rock,rock,paper,lose,order-1,True,0.0026,1787898709936
147,rock,rock,paper,lose,order-1,True,0.0027,1787898710036
148,rock,rock,paper,lose,order-1,True,0.0043,1787898710136
149,rock,rock,paper,lose,order-1,True,0.0049,1787898710236
150,rock,rock,paper,lose,order-1,True,0.0026,1787898710336
151,rock,rock,paper,lose,order-1,True,0.0026,1787898710436
152,rock,rock,rock,tie,random,True,0.0034,1787898710536
153,rock,rock,paper,lose,order-1,True,0.0029,1787898710636
154,rock,rock,paper,lose,order-1,True,0.0029,1787898710736
155,rock,rock,paper,lose,order-1,True,0.0025,1787898710836
156,rock,rock,paper,lose,order-1,True,0.0025,1787898710936
157,rock,rock,paper,lose,order-1,True,0.0027,1787898711036
158,rock,rock,scissors,win,random,True,0.0033,1787898711136
159,rock,rock,paper,lose,order-1,True,0.0028,1787898711236
160,rock,rock,paper,lose,order-1,True,0.0027,1787898711336
161,rock,rock,paper,lose,order-1,True,0.0026,1787898711436
162,rock,rock,paper,lose,order-1,True,0.0026,1787898711536
163,rock,rock,paper,lose,order-1,True,0.0026,1787898711636
164,rock,rock,paper,lose,order-1,True,0.0026,1787898711736
165,rock,rock,rock,tie,random,True,0.003,1787898711836
166,rock,rock,paper,lose,order-1,True,0.0026,1787898711936
167,rock,rock,paper,lose,order-1,True,0.0031,1787898712036
168,rock,rock,rock,tie,random,True,0.0029,1787898712136
169,rock,rock,paper,lose,order-1,True,0.0027,1787898712236
170,rock,rock,paper,lose,order-1,True,0.0031,1787898712336
171,rock,rock,paper,lose,order-1,True,0.0029,1787898712436
172,rock,rock,paper,lose,order-1,True,0.0043,1787898712536
173,rock,rock,paper,lose,order-1,True,0.0044,1787898712636
174,rock,rock,paper,lose,order-1,True,0.0026,1787898712736
175,rock,rock,paper,lose,order-1,True,0.0027,1787898712836
176,rock,rock,paper,lose,order-1,True,0.0025,1787898712936
177,rock,rock,paper,lose,order-1,True,0.0026,1787898713036
178,rock,rock,paper,lose,order-1,True,0.0026,1787898713136
179,rock,rock,paper,lose,order-1,True,0.0026,1787898713236
180,rock,rock,paper,lose,order-1,True,0.0025,1787898713336
181,rock,rock,paper,lose,order-1,True,0.0026,1787898713436
182,rock,rock,paper,lose,order-1,True,0.0026,1787898713536
183,rock,rock,paper,lose,order-1,True,0.0026,1787898713636
184,rock,rock,paper,lose,order-1,True,0.0025,1787898713736
185,rock,rock,paper,lose,random,True,0.0031,1787898713836
186,rock,rock,paper,lose,order-1,True,0.0025,1787898713936
187,rock,rock,paper,lose,order-1,True,0.0027,1787898714036
188,rock,rock,paper,lose,order-1,True,0.0026,1787898714136
189,rock,rock,paper,lose,order-1,True,0.0028,1787898714236
190,rock,rock,paper,lose,order-1,True,0.0045,1787898714336
191,rock,rock,paper,lose,order-1,True,0.0029,1787898714436
192,rock,rock,paper,lose,order-1,True,0.0027,1787898714536
193,rock,rock,paper,lose,order-1,True,0.0026,1787898714636
194,rock,rock,paper,lose,order-1,True,0.0027,1787898714736
195,rock,rock,paper,lose,order-1,True,0.0027,1787898714836
196,rock,rock,paper,lose,order-1,True,0.0026,1787898714936
197,rock,rock,paper,lose,order-1,True,0.0026,1787898715036
198,rock,rock,paper,lose,order-1,True,0.0028,1787898715136
199,rock,rock,paper,lose,order-1,True,0.0026,1787898715236
200,rock,rock,paper,lose,order-1,True,0.0026,1787898715336
201,rock,rock,paper,lose,order-1,True,0.0026,1787898715436
202,rock,rock,paper,lose,order-1,True,0.0026,1787898715536
203,rock,rock,paper,lose,order-1,True,0.0026,1787898715636
204,rock,rock,paper,lose,order-1,True,0.0025,1787898715736
205,rock,rock,paper,lose,order-1,True,0.0025,1787898715836
206,rock,rock,paper,lose,order-1,True,0.0027,1787898715936
207,rock,rock,paper,lose,order-1,True,0.0026,1787898716036
208,rock,rock,rock,tie,random,True,0.003,1787898716136
209,rock,rock,paper,lose,order-1,True,0.0026,1787898716236
210,rock,rock,paper,lose,order-1,True,0.0045,1787898716336
211,rock,rock,paper,lose,order-1,True,0.0028,1787898716436
212,rock,rock,paper,lose,order-1,True,0.0027,1787898716536
213,rock,rock,paper,lose,order-1,True,0.0027,1787898716636
214,rock,rock,paper,lose,order-1,True,0.0026,1787898716736
215,rock,rock,paper,lose,order-1,True,0.0026,1787898716836
216,rock,rock,paper,lose,order-1,True,0.0025,1787898716936
217,rock,rock,paper,lose,order-1,True,0.0026,1787898717036
218,rock,rock,paper,lose,order-1,True,0.0027,1787898717136
219,rock,rock,rock,tie,random,True,0.0028,1787898717236
220,rock,rock,paper,lose,order-1,True,0.0026,1787898717336
221,rock,rock,paper,lose,order-1,True,0.0025,1787898717436
222,rock,rock,paper,lose,order-1,True,0.0028,1787898717536
223,rock,rock,paper,lose,order-1,True,0.0026,1787898717636
224,rock,rock,paper,lose,order-1,True,0.0027,1787898717736
225,rock,rock,paper,lose,order-1,True,0.0027,1787898717836
226,rock,rock,paper,lose,order-1,True,0.0025,1787898717936
227,rock,rock,paper,lose,order-1,True,0.0026,1787898718036
228,rock,rock,paper,lose,order-1,True,0.0026,1787898718136
229,rock,rock,paper,lose,order-1,True,0.0028,1787898718236
230,rock,rock,paper,lose,order-1,True,0.0027,1787898718337
231,rock,rock,paper,lose,order-1,True,0.0026,1787898718437
232,rock,rock,paper,lose,order-1,True,0.0026,1787898718537
233,rock,rock,paper,lose,order-1,True,0.0026,1787898718637
234,rock,rock,paper,lose,order-1,True,0.0027,1787898718737
235,rock,rock,paper,lose,order-1,True,0.0026,1787898718837
236,rock,rock,paper,lose,order-1,True,0.0025,1787898718937
237,rock,rock,paper,lose,order-1,True,0.0025,1787898719037
238,rock,rock,paper,lose,random,True,0.0028,1787898719137
239,rock,rock,paper,lose,order-1,True,0.0027,1787898719237
240,rock,rock,paper,lose,order-1,True,0.0025,1787898719337
241,rock,rock,rock,tie,random,True,0.0027,1787898719437
242,rock,rock,paper,lose,order-1,True,0.0027,1787898719537
243,rock,rock,paper,lose,order-1,True,0.0026,1787898719637
244,rock,rock,paper,lose,order-1,True,0.0026,1787898719737
245,rock,rock,paper,lose,order-1,True,0.0025,1787898719837
246,rock,rock,paper,lose,order-1,True,0.0027,1787898719937
247,rock,rock,paper,lose,order-1,True,0.0026,1787898720037
248,rock,rock,paper,lose,order-1,True,0.0028,1787898720137
249,rock,rock,paper,lose,order-1,True,0.0026,1787898720237
250,rock,rock,paper,lose,order-1,True,0.0028,1787898720337
251,rock,rock,paper,lose,order-1,True,0.0027,1787898720437
